Vendedor;Rede;Cliente;Código;Loja;Cidade;UF
Antonio;Outros;Armazem Cecilio Mota (006006 - 01);006006;01;Jacobina;BA
Nixon;Assai;Assai Aeroporto (001899 - 43);001899;43;Aracaju;SE
Nixon;Assai;Assai Barris (001899 - 51);001899;51;Salvador;BA
Nixon;Assai;Assai Cabula (001899 - 52);001899;52;Salvador;BA
Nixon;Assai;Assai Calcada (001899 - 39);001899;39;Salvador;BA
Nixon;Assai;Assai Camacari (001899 - 35);001899;35;Camacari;BA
Nixon;Assai;Assai Feira Sobradinho (001899 - 13);001899;13;Feira De Santana;BA
Nixon;Assai;Assai Imbui (001899 - 74);001899;74;Salvador;BA
Nixon;Assai;Assai Inacio Barbosa (001899 - 54);001899;54;Aracaju;SE
Nixon;Assai;Assai Jose Conrado De Araujo (001899 - 42);001899;42;Aracaju;SE
Antonio;Assai;Assai Juazeiro (001899 - 81);001899;81;Juazeiro;BA
Nixon;Assai;Assai Lauro De Freitas (001899 - 34);001899;34;Lauro De Freitas;BA
Nixon;Assai;Assai Luis Anselmo (001899 - 67);001899;67;Salvador;BA
Nixon;Assai;Assai Mussurunga (001899 - 37);001899;37;Salvador;BA
Nixon;Assai;Assai Nossa Sra Do Socorro (001899 - 66);001899;66;Nossa Senhora Do Socorro;SE
Nixon;Assai;Assai Paripe (001899 - 36);001899;36;Salvador;BA
Nixon;Assai;Assai Pau Da Lima (001899 - 38);001899;38;Salvador;BA
Antonio;Assai;Assai Petrolina (001899 - 79);001899;79;Petrolina;PE
Nixon;Assai;Assai Porto (001899 - 44);001899;44;Itabaiana;SE
Antonio;Assai;Assai Sr Do Bonfim (001899 - 80);001899;80;Senhor Do Bonfim;BA
Nixon;Assai;Assai Tomba (001899 - 75);001899;75;Feira De Santana;BA
Nixon;Assai;Assai Vasco Da Gama 4049 (001899 - 53);001899;53;Salvador;BA
Nixon;Atacadao;Atac Camacari (000002 - 38);000002;38;Camacari;BA
Nixon;Atacadao;Atac Camacari Centro (000048 - 17);000048;17;Camacari;BA
Nixon;Atacadao;Atac Feira Santana (000002 - 28);000002;28;Feira De Santana;BA
Nixon;Atacadao;Atac Mares (000048 - 08);000048;08;Salvador;BA
Antonio;Atacadao;Atac Petrolina (000002 - 51);000002;51;Petrolina;PE
Nixon;Atacadao;Atacadao Brotas (000002 - 72);000002;72;Salvador;BA
Nixon;Atacadao;Atacadao Sede (000002 - 68);000002;68;Alagoinhas;BA
Ricardo Santos;Atakarejo;Atakarejo  Catu (000213 - 41);000213;41;Catu;BA
Ricardo Santos;Atakarejo;Atakarejo - Estancia Aracaju (000213 - 47);000213;47;Estancia;SE
Ricardo Santos;Atakarejo;Atakarejo  Feira Sim (000213 - 40);000213;40;Feira De Santana;BA
Ricardo Santos;Atakarejo;Atakarejo  Lagarto (000213 - 44);000213;44;Lagarto;SE
Ricardo Santos;Atakarejo;Atakarejo  Sao Goncalo Dos Campos (000213 - 25);000213;25;Sao Goncalo Dos Campos;BA
Ricardo Santos;Atakarejo;Atakarejo  Sete De Abril (000213 - 32);000213;32;Salvador;BA
Ricardo Santos;Atakarejo;Atakarejo (000213 - 35);000213;35;Salvador;BA
Ricardo Santos;Atakarejo;Atakarejo (000213 - 36);000213;36;Salvador;BA
Ricardo Santos;Atakarejo;Atakarejo (000213 - 37);000213;37;Salvador;BA
Ricardo Santos;Atakarejo;Atakarejo Alagoinha (000213 - 29);000213;29;Alagoinhas;BA
Ricardo Santos;Atakarejo;Atakarejo Amaralina (000213 - 08);000213;08;Salvador;BA
